GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Career Quest,kz.hackalem.careerquest.service,CompletionService,5,134,2,12,0,25,3,9,1,4
Career Quest,kz.hackalem.careerquest.service,WeightedScoringPolicy,0,41,0,2,0,6,0,3,0,2
Career Quest,kz.hackalem.careerquest.service,RecommendationService,17,402,7,59,1,81,5,40,0,12
Career Quest,kz.hackalem.careerquest.service,HrAnalyticsService,1,166,3,9,0,36,3,6,0,3
Career Quest,kz.hackalem.careerquest.service,DatasetImportService,8,702,4,32,1,106,4,23,0,9
Career Quest,kz.hackalem.careerquest.service,GamificationService,0,60,0,6,0,12,0,6,0,3
Career Quest,kz.hackalem.careerquest.service,CareerService,14,353,4,26,0,61,6,21,2,10
Career Quest,kz.hackalem.careerquest.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
Career Quest,kz.hackalem.careerquest.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
Career Quest,kz.hackalem.careerquest.dao.impl,JdbcEmployeeDao,0,169,0,2,0,30,0,9,0,8
Career Quest,kz.hackalem.careerquest.dao.impl,JdbcEventDao,0,484,0,14,0,71,0,17,0,10
Career Quest,kz.hackalem.careerquest.dao.impl,JdbcActivityDao,0,173,0,4,0,32,0,9,0,7
Career Quest,kz.hackalem.careerquest.dao.impl,JdbcCatalogDao,0,98,0,2,0,20,0,7,0,6
Career Quest,kz.hackalem.careerquest.controller,DashboardController,16,234,1,1,2,43,2,7,1,7
Career Quest,kz.hackalem.careerquest.controller,ApiController,14,95,0,0,2,20,1,4,1,4
Career Quest,kz.hackalem.careerquest.controller,HrController,0,21,0,0,0,6,0,2,0,2
Career Quest,kz.hackalem.careerquest.controller,ApiController.CompletionRequest,0,9,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest,CareerQuestApplication,5,3,0,0,2,1,1,1,1,1
Career Quest,kz.hackalem.careerquest.controller.support,EmployeeAccess,5,71,2,12,0,16,3,10,1,5
Career Quest,kz.hackalem.careerquest.controller.support,GlobalExceptionHandler,10,71,4,10,1,18,3,7,0,3
Career Quest,kz.hackalem.careerquest.util,SkillMath,0,32,0,4,0,6,0,5,0,2
Career Quest,kz.hackalem.careerquest.model,CareerProgress,0,24,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,DevelopedSkill,0,12,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,CareerEvent,0,39,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,GameProgress,0,15,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,RoleProfile,0,18,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,Skill,0,18,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,ActivityRecord,0,33,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,CareerGoal,0,9,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,Recommendation,0,27,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,CareerProgress.Gap,0,21,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.model,Employee,0,42,0,0,0,1,0,1,0,1
Career Quest,kz.hackalem.careerquest.config,WebConfig,0,36,0,0,0,12,0,3,0,3
Career Quest,kz.hackalem.careerquest.config,DataInitializer,0,87,0,6,0,18,0,6,0,3
Career Quest,kz.hackalem.careerquest.config,SecurityConfig,5,115,0,0,0,21,1,9,1,9
Career Quest,kz.hackalem.careerquest.interceptor,RequestTimingInterceptor,0,56,0,2,0,12,0,5,0,4
